epglnren,sup_riscaldata,sup_raffrescata,vol_riscaldato,vol_raffrescato,sup_disperdente,rapsv,asolsut,classe_energetica,presenza_clim_invernale,presenza_clim_estiva,presenza_produzione_acs,yie,anno_costruzione,zona_climatica,d_uso_Residenziale,tipologia_edilizia,tipologia_costruttiva,num_servizi,efficienza_media,potenza_tot,num_simulati,construction_era,piano,tip_edilizia_sq,zona_clim_num,zona_clim_gg_mid
173.55,97.98,0.0,432.17,0.0,281.8,0.652,0.0162,E,True,False,True,0.0845,1961-1975,D,True,2,muratura portante,2,0.7649999999999999,36.2,0,1,ground,4,4,1750
197.26,113.02,0.0,423.51,0.0,333.61,0.7877,0.0833,G,True,False,True,0.5564,1961-1975,D,True,1,muratura portante,2,0.615,51.6,0,1,upper,1,4,1750
125.75,77.0,0.0,267.41,0.0,108.48,0.4057,0.0377,F,True,False,True,0.9678,before 1930,D,True,4,muratura portante,2,0.635,52.0,0,1,multi_floor,16,4,1750
228.69,98.18,0.0,406.92,0.0,282.15,0.6934,0.0304,F,True,False,True,0.1361,1946-1960,D,True,2,muratura portante,2,0.5650000000000001,47.6,0,1,ground,4,4,1750
216.49,101.73,0.0,416.86,0.0,284.86,0.6833,0.0803,G,True,False,True,0.6362,1961-1975,D,True,3,c.a. con laterizi,2,0.66,76.5,0,1,upper,9,4,1750
90.25,133.97,0.0,502.06,0.0,329.42,0.6561,0.0356,D,True,False,True,0.0773,1986-1991,D,True,5,c.a. con laterizi,2,0.6699999999999999,46.0,0,2,multi_floor,25,4,1750
29.16,1048.71,0.0,7782.85,0.0,3120.77,0.401,0.0238,B,True,False,False,0.932,1986-1991,D,False,5,c.a. con laterizi,2,0.57,4.0,1,2,ground,25,4,1750
92.24,71.31,0.0,264.0,0.0,181.45,0.6873,0.0186,D,True,False,True,0.0777,after 2007,D,True,3,c.a. con laterizi,2,0.685,47.6,0,4,ground,9,4,1750
186.9,85.75,0.0,362.71,0.0,307.79,0.8486,0.0559,F,True,False,True,0.32,1961-1975,D,True,8,c.a. con laterizi,2,0.795,47.0,0,1,ground,64,4,1750
291.09,252.32,0.0,962.6,0.0,841.58,0.8743,0.0462,G,True,False,False,2.2,1976-1985,D,False,5,muratura portante,2,0.73,0.4,1,1,ground,25,4,1750
371.56,75.0,0.0,301.49,0.0,255.99,0.8491,0.0872,G,True,False,True,0.4703,1986-1991,E,True,3,c.a. con laterizi,2,0.5700000000000001,47.4,0,2,upper,9,5,2550
180.16,76.92,0.0,295.65,0.0,174.22,0.5893,0.2496,G,True,False,True,0.189,1976-1985,E,False,3,c.a. con laterizi,2,0.7,48.0,0,2,upper,9,5,2550
106.83,40.8,0.0,158.4,0.0,26.32,0.1662,0.0146,E,True,False,True,0.0296,1992-2005,D,True,3,muratura portante,2,0.535,47.4,0,3,ground,9,4,1750
312.38,71.78,0.0,274.32,0.0,204.35,0.7449,0.0135,G,True,False,True,0.6987,before 1930,D,True,4,muratura portante,2,0.5,49.2,0,1,upper,16,4,1750
359.67,47.82,0.0,196.62,0.0,111.92,0.5692,0.1064,G,True,False,True,0.4938,1946-1960,D,True,1,muratura portante,2,0.5549999999999999,51.2,0,1,upper,1,4,1750
242.81,97.09,0.0,368.39,0.0,260.62,0.7075,0.0491,G,True,False,True,0.5347,1930-1945,D,True,5,muratura portante,2,0.615,46.6,0,1,upper,25,4,1750
94.98,91.96,91.96,336.51,336.51,176.8,0.5254,0.0522,C,True,True,True,0.1048,after 2007,D,True,3,c.a. con laterizi,3,0.7633333333333333,31.35,0,4,multi_floor,9,4,1750
145.55,84.15,0.0,350.49,0.0,237.45,0.6775,0.0348,F,True,False,True,0.3495,1961-1975,D,True,7,c.a. con laterizi,2,0.585,51.8,0,1,upper,49,4,1750
361.24,72.21,0.0,293.33,0.0,307.56,1.0485,0.0703,F,True,False,True,0.1232,1961-1975,D,True,3,mista (c.a. + laterizi),2,0.72,48.42,0,1,upper,9,4,1750
131.64,70.05,0.0,252.33,0.0,130.15,0.5158,0.0279,F,True,False,True,0.5854,1976-1985,D,True,3,c.a. con laterizi,2,0.685,48.0,0,1,upper,9,4,1750
174.65,65.8,0.0,302.31,0.0,210.04,0.6948,0.0572,F,True,False,True,0.0167,1946-1960,D,True,4,muratura portante,2,0.7,41.2,0,1,ground,16,4,1750
247.79,244.55,0.0,1335.2,0.0,679.74,0.5091,0.0776,F,True,False,True,0.4136,1992-2005,D,False,3,c.a. con chiusure in pannelli prefabbricati,3,0.565,2.65,1,3,ground,9,4,1750
134.88,145.73,0.0,583.56,0.0,535.01,0.9168,0.0673,F,True,False,True,1.1926,1961-1975,D,True,7,muratura portante,2,0.6950000000000001,48.0,0,1,upper,49,4,1750
101.69,67.48,0.0,273.57,0.0,163.49,0.5976,0.0824,F,True,False,True,0.4093,1961-1975,D,True,1,muratura portante,2,0.7,201.0,0,1,upper,1,4,1750
354.37,46.21,0.0,200.1,0.0,142.85,0.7138,0.0075,G,True,False,True,0.47,1946-1960,D,True,3,legno,2,0.48,26.5,0,1,ground,9,4,1750
163.16,113.22,0.0,468.42,0.0,341.39,0.7288,0.0351,F,True,False,True,0.1359,1976-1985,D,True,3,c.a. con laterizi,2,0.57,46.4,0,2,ground,9,4,1750
163.51,117.02,0.0,497.27,0.0,353.66,0.7112,0.0339,F,True,False,True,0.1359,1976-1985,D,True,3,c.a. con laterizi,2,0.6000000000000001,56.2,0,2,upper,9,4,1750
143.91,64.04,0.0,269.22,0.0,185.87,0.6904,0.0304,F,True,False,True,0.193,1946-1960,D,False,1,muratura portante,3,0.57,0.2,2,1,ground,1,4,1750
290.98,160.2,0.0,769.86,0.0,419.37,0.5447,0.1748,F,True,False,False,0.4703,1961-1975,D,False,2,c.a. con laterizi,2,0.57,0.35,1,1,ground,4,4,1750
208.66,100.02,59.45,299.34,176.88,203.86,0.6811,0.0241,D,True,True,True,0.2537,1976-1985,D,True,3,c.a. con laterizi,3,0.6933333333333334,28.5,0,2,upper,9,4,1750
